Unnamed: 0,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
44259,Obsidian Sports and Music Bar -Gokulam Grand Hotel &...,No,No,3.7,37,New BEL Road,Lounge,Continental,2000.0
33951,Coconadu,No,No,3.8,37,Koramangala 7th Block,"Food Court, Quick Bites","Kerala, Konkan",400.0
26453,Ambur Biryani Point,Yes,No,4.2,426,Koramangala 1st Block,Quick Bites,"Biryani, Kebab",250.0
1392,Churchill's,Yes,Yes,4.1,1403,JP Nagar,"Casual Dining, Pub","North Indian, Continental",1100.0
6014,Karavalli - The Gateway Hotel,No,Yes,4.5,674,Residency Road,Fine Dining,"Mangalorean, Konkan, Seafood, Kerala",3500.0
25787,Hyderabad Biryaani Palace,Yes,No,3.4,309,Kammanahalli,Casual Dining,"Biryani, Hyderabadi, Chinese",750.0
14339,Choco Nut Cafe,Yes,No,3.2,19,Electronic City,Quick Bites,Desserts,150.0
4548,Smoke - The Sizzler House,Yes,No,3.3,4,Bellandur,Casual Dining,"Continental, Chinese, Thai, BBQ, Steak",900.0
28033,KrumbKraft,No,No,3.5,5,Domlur,Bakery,"Bakery, European",300.0
12980,Siddique Kabab Centre,Yes,No,3.9,430,Frazer Town,Casual Dining,"Mughlai, Kebab, Chinese",550.0
46868,Kabab Souq,Yes,No,3.6,112,Richmond Road,Quick Bites,"Kebab, North Indian, Arabian, Chinese",500.0
6882,Breads and Banter,No,Yes,4.2,65,Brookefield,"Cafe, Bakery","Cafe, Bakery, Fast Food",400.0
21779,Biryani Durbar,Yes,No,3.7,129,Bannerghatta Road,"Takeaway, Delivery","Biryani, North Indian",400.0
22109,Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,Cafe,"Cafe, Continental, Fast Food",600.0
48157,The Whiskey Bar,No,Yes,3.7,44,Race Course Road,Bar,"Finger Food, North Indian",2800.0
44144,S-Cafe,No,No,3.7,0,New BEL Road,Quick Bites,South Indian,150.0
44703,Ice & Cream Creamery,Yes,No,3.7,0,CV Raman Nagar,Dessert Parlor,"Desserts, Ice Cream",200.0
22550,Sandwich Shop,Yes,No,2.9,47,JP Nagar,Delivery,"Fast Food, Burger, Sandwich",400.0
6988,Radha Rani,Yes,No,3.3,244,Brookefield,Quick Bites,"Bengali, North Indian, Chinese",400.0
9123,Baba Chatkora,Yes,No,4.2,820,Koramangala 6th Block,Casual Dining,North Indian,1000.0
6205,Atomic Lab,No,No,3.5,53,Lavelle Road,"Casual Dining, Bar","Asian, North Indian, Continental",1800.0
4402,Cafe Petu,No,No,3.7,0,Sarjapur Road,Delivery,"North Indian, Chinese, Italian",300.0
25696,Karachi Bakery,Yes,No,3.7,0,HBR Layout,Bakery,Bakery,500.0
32572,Khan Saheb Grills and Rolls,Yes,No,3.8,63,Hosur Road,Quick Bites,"Fast Food, Rolls",350.0
6233,Chai Point,Yes,No,4.0,132,Residency Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250.0
6253,Mehendi,No,No,3.7,0,Residency Road,Casual Dining,"North Indian, Chinese",700.0
12179,Vasavi Bangarpet Chats,Yes,No,3.7,0,Shivajinagar,Quick Bites,Street Food,150.0
9861,The Juicy,Yes,No,3.5,13,JP Nagar,Beverage Shop,"Beverages, Juices",100.0
28962,The Boozy Griffin,No,Yes,4.6,4997,Koramangala 5th Block,"Casual Dining, Pub","European, Continental",1800.0
2990,Anupam's Coastal Express,Yes,No,4.1,179,Shanti Nagar,Casual Dining,"Seafood, Mangalorean, South Indian",600.0
10263,Bake Addiction,Yes,No,4.1,95,JP Nagar,Bakery,"Bakery, Desserts",500.0
19832,I Cool,Yes,No,4.0,77,JP Nagar,Quick Bites,"Juices, Fast Food",150.0
21003,Rajanna Military Hotel,Yes,No,4.1,171,Jayanagar,Quick Bites,"Biryani, Fast Food",400.0
6739,Biggies Burger 'n' More,Yes,No,4.0,293,Brookefield,Quick Bites,"Cafe, Burger, Beverages",650.0
1389,Natural Ice Cream,No,No,4.3,423,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",150.0
19550,The Milkshake Theory,Yes,No,4.0,48,Koramangala 5th Block,Beverage Shop,"Beverages, Fast Food",400.0
47424,Pappu Chaiwalla,No,No,3.3,33,St. Marks Road,Quick Bites,"Fast Food, Tea, Beverages",300.0
5262,Wolf'ish,Yes,No,4.1,459,Church Street,Cafe,"Cafe, American, Italian, Pizza, Burger",700.0
20770,A1 Express,No,No,3.7,0,Jayanagar,Bakery,Bakery,300.0
12594,i-Bar - The Park Bangalore,No,No,3.8,617,MG Road,Lounge,"North Indian, Chinese, Mediterranean",3000.0
47973,Indira Darshini,Yes,No,3.5,21,Infantry Road,Quick Bites,"South Indian, Chinese",200.0
9264,Dhaba Bytes,Yes,No,4.1,131,HSR,Casual Dining,North Indian,650.0
50710,Majlish,No,No,3.6,79,Whitefield,Casual Dining,"Bengali, North Indian, Chinese",800.0
12338,Kanti Sweets,Yes,No,3.9,101,Brigade Road,"Sweet Shop, Quick Bites","Mithai, Street Food",400.0
42273,Sherlock's Cafe,Yes,No,3.6,42,Frazer Town,Cafe,"Cafe, Fast Food",350.0
10817,Le Arabia,Yes,No,3.7,0,JP Nagar,Casual Dining,"North Indian, Mughlai",600.0
36052,Maxpresso,No,No,4.1,324,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700.0
9683,BTM Bawarchi Biryani,Yes,No,3.5,132,BTM,"Takeaway, Delivery","Biryani, North Indian, Chinese",600.0
49686,Slurpy Shakes,Yes,No,3.7,11,Whitefield,Beverage Shop,Beverages,300.0
18444,Under The Tree,Yes,No,3.0,64,Domlur,Dessert Parlor,"Desserts, Juices, Fast Food",200.0
30277,Avon Bar & Kitchen,No,No,3.7,105,BTM,Casual Dining,"Andhra, Chinese, North Indian",700.0
42537,Painted Platters,No,No,3.9,38,Ulsoor,Bakery,"Bakery, Desserts",300.0
46086,F.M Biryani Paradise,No,No,3.7,0,Vijay Nagar,Quick Bites,Biryani,300.0
14068,Nasma Restaurant,No,No,3.7,0,Electronic City,Casual Dining,"North Indian, Chinese, Arabian",550.0
34367,Cheers Pub Bar & Restro,No,Yes,3.7,0,Koramangala 4th Block,"Pub, Bar","Continental, Finger Food, Pizza, North Indian, Bar Food",1100.0
25550,Orchid Wine And Dine,No,No,3.0,9,Banaswadi,Casual Dining,"North Indian, Chinese, Mughlai",700.0
19295,Crafted Plate,Yes,Yes,4.2,239,JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600.0
11541,Fatso's,Yes,No,3.8,72,Brigade Road,Cafe,"Cafe, American, Italian, Burger",650.0
1442,Cupcake Bliss,Yes,No,3.5,9,BTM,Delivery,Bakery,250.0
46216,Dharwad Line Bazar Mishra Pedha,No,No,3.4,4,Malleshwaram,Sweet Shop,Mithai,150.0
35701,Natural Ice Cream,No,No,4.5,941,Koramangala 1st Block,Dessert Parlor,"Ice Cream, Beverages",200.0
16162,Ruh,Yes,Yes,4.1,3030,Bellandur,Casual Dining,"North Indian, Mughlai, Mediterranean, Iranian",1000.0
12915,Shiv Sager,No,No,3.0,10,Brigade Road,Food Court,"South Indian, North Indian, Chinese",200.0
12477,Rim Naam - The Oberoi,No,No,4.6,983,MG Road,Fine Dining,Thai,3000.0
43923,Abzain Paradise,No,No,2.9,42,Sanjay Nagar,Quick Bites,North Indian,300.0
30263,PORKEATS,No,No,3.4,6,Koramangala 6th Block,Quick Bites,"Goan, Mangalorean",400.0
12110,Fortune,No,No,3.7,0,Majestic,Takeaway,South Indian,300.0
24902,New Udupi Park Deluxe,No,No,3.6,77,Hennur,Quick Bites,"South Indian, North Indian, Chinese",400.0
22108,The Krishna Grand Xpress,Yes,No,4.0,137,Jayanagar,Quick Bites,"South Indian, Fast Food",350.0
16430,Kabab Ghar,Yes,No,3.1,11,Bellandur,"Takeaway, Delivery","Biryani, North Indian, Kebab",600.0
38983,The Lantern Restaurant & Bar - The Ritz-Carlton...,No,Yes,4.3,430,Residency Road,"Fine Dining, Bar",Chinese,3500.0
28836,Surabhi Restaurant,No,No,3.7,0,Hosur Road,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",400.0
29208,Hyderabad Biryaani House,Yes,No,4.1,1117,Koramangala 5th Block,Casual Dining,"Biryani, North Indian, Chinese, Hyderabadi",750.0
27006,Desi Dhaba,Yes,No,3.3,13,BTM,Delivery,"North Indian, Chinese",400.0
8761,Ice Cafe & Lassi Shop,Yes,No,3.7,26,BTM,Beverage Shop,"Beverages, Juices",100.0
5133,Smoke House Deli,Yes,No,4.6,2490,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600.0
5438,Chutney Chang,Yes,Yes,4.2,4732,Church Street,Casual Dining,"North Indian, Chinese, BBQ",1500.0
40596,Tiffin Inn's,Yes,No,3.7,24,Marathahalli,Quick Bites,South Indian,250.0
10881,The Himalayan,No,Yes,4.4,320,Koramangala 5th Block,Casual Dining,Korean,1200.0
7462,Jaffa's Biryani,Yes,No,3.8,429,Marathahalli,Casual Dining,"Biryani, North Indian, Chinese",550.0
13033,Cafe Sandarshini,No,No,3.7,0,Shanti Nagar,Quick Bites,"South Indian, North Indian",200.0
50346,Punjabi Park,Yes,No,3.7,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,400.0
30797,Chinita Real Mexican Food,No,No,4.5,733,Koramangala 5th Block,Casual Dining,Mexican,1200.0
33544,Madurai Idly Shop,No,No,3.7,468,Koramangala 6th Block,Quick Bites,South Indian,200.0
911,The Cravery,Yes,No,2.6,18,JP Nagar,Cafe,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500.0
2772,Karavali Grand,Yes,No,3.7,25,Koramangala 5th Block,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",600.0
37140,Desi Bites,No,No,3.2,4,Bannerghatta Road,Food Court,Street Food,200.0
2351,Biriyani Expess,No,No,3.7,0,JP Nagar,Quick Bites,Biryani,250.0
21167,Mandi,Yes,Yes,3.8,563,JP Nagar,Casual Dining,North Indian,800.0
49692,KBC - Kebab Biryani Curry,Yes,No,3.4,38,KR Puram,Quick Bites,"North Indian, Chinese, Kebab, Biryani",400.0
19478,Starlite Bakery & Fastfood,Yes,No,3.7,23,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300.0
51075,Punjabi Thadka,No,No,3.7,0,Brookefield,Quick Bites,North Indian,400.0
26550,Mustard Cafe,Yes,No,4.1,889,Koramangala 3rd Block,Cafe,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",800.0
3942,Matka,Yes,Yes,3.6,25,HSR,Casual Dining,"North Indian, Biryani",500.0
14343,Halli Mane Badoota Hotel,Yes,No,3.7,0,Electronic City,Quick Bites,South Indian,300.0
17247,Abhiruchi Hotel,Yes,No,3.2,12,Bommanahalli,Casual Dining,"North Indian, Biryani, Seafood",700.0
36008,Kamat Swaad,No,No,3.9,194,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400.0
43883,Frosted Memories,No,No,4.0,34,Hebbal,Bakery,Bakery,200.0
2595,Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,100.0
40590,Barkaas,Yes,Yes,4.2,198,Marathahalli,Casual Dining,"Arabian, Biryani, Desserts, Beverages, Salad",1000.0
2442,Rana Vada Pav,No,No,3.7,0,BTM,Quick Bites,Street Food,100.0
24280,ILA Kitchen,No,No,3.7,14,Banaswadi,Casual Dining,Kerala,500.0
1295,Lyengar's Cakes N Cookies,Yes,No,3.7,0,Bannerghatta Road,Bakery,"Bakery, Desserts",400.0
31305,Amma's Special,No,No,3.7,0,Koramangala 1st Block,Quick Bites,South Indian,400.0
2649,Wat-a-Burger!,Yes,No,4.0,108,Jayanagar,Quick Bites,"Burger, Sandwich, Beverages",500.0
30149,Moonlights Kitchens,No,No,3.7,0,Koramangala 1st Block,Delivery,"North Indian, Chinese",400.0
1807,Hottey Smokey,Yes,No,3.7,0,JP Nagar,Quick Bites,"American, Continental, Salad, Italian",400.0
25055,Kerala Mess,Yes,No,2.9,40,Nagawara,Mess,"Chinese, Kerala, North Indian",300.0
2861,Kalpavriksha Upahara,Yes,No,3.9,126,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0
27510,Desi Aahar,Yes,No,3.7,0,BTM,Quick Bites,"North Indian, Chinese, Seafood",400.0
47735,Cobaja,Yes,Yes,4.2,82,Brigade Road,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",700.0
8897,Magix's Parattha Roll,Yes,No,3.7,184,BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400.0
9311,Stop N Joy,No,No,3.7,0,BTM,Quick Bites,"Street Food, Beverages",150.0
25334,Sandesh Restaurant,Yes,No,3.7,0,Hennur,Quick Bites,"Biryani, Chinese, North Indian, Bengali",350.0
46180,Ice Fort,No,No,3.7,23,Basaveshwara Nagar,Dessert Parlor,Ice Cream,300.0
34619,Punjabi Dhaba,Yes,No,3.4,357,Ejipura,Quick Bites,North Indian,350.0
1748,Aha Juice Bar,No,No,3.6,13,BTM,Beverage Shop,"Beverages, Fast Food",200.0
20190,Just Bake,No,No,3.8,32,Jayanagar,"Bakery, Quick Bites","Bakery, Desserts",400.0
44296,Brown Crust Cafe,No,No,3.2,20,Old Airport Road,Cafe,"Cafe, Italian, Desserts",300.0
29194,Indian Chicken Biryani Point,Yes,No,3.3,9,Richmond Road,Quick Bites,"Biryani, South Indian",300.0
22201,AM WOW,Yes,No,3.4,6,Jayanagar,Beverage Shop,Beverages,100.0
31584,Borah's Kitchen,Yes,No,3.3,12,BTM,Quick Bites,"North Indian, Chinese",250.0
18875,Night Booze,No,No,3.2,8,Thippasandra,"Casual Dining, Bar","North Indian, Fast Food",600.0
27658,Nightfork,No,No,3.7,126,Koramangala 6th Block,Delivery,"Chinese, Biryani, Pizza, Italian, North Indian",500.0
4563,Drunken Monkey,Yes,No,3.4,11,Bellandur,Kiosk,"Beverages, Fast Food",400.0
36250,Maxpresso,No,No,4.1,324,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700.0
4619,Kolkata Famous Kati Roll,No,No,3.4,7,Bellandur,Kiosk,"Fast Food, Rolls",100.0
8153,Crepe Connection,Yes,No,3.7,0,Marathahalli,Quick Bites,"Fast Food, Italian, Desserts",400.0
7811,Parvas Biriyani Park,No,No,3.7,0,Brookefield,Quick Bites,"Andhra, Biryani, Chinese",400.0
9270,Healthy Parathawala,Yes,No,3.7,0,BTM,Quick Bites,North Indian,200.0
36165,Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,"Cafe, American, Italian, Burger",600.0
2158,Hotel Aradhana,Yes,No,3.7,51,Bannerghatta Road,Quick Bites,North Indian,300.0
24223,Red Savina,No,No,3.7,0,Jakkur,Delivery,"North Indian, South Indian, Chinese, Mughlai",400.0
13293,She Brews,Yes,No,3.8,159,Electronic City,Cafe,"Cafe, Continental, Thai, Chinese",400.0
31764,B-hive,No,Yes,4.3,1557,Koramangala 1st Block,Pub,"Finger Food, North Indian",1200.0
33251,Nutrition on Wheels,No,No,2.9,23,BTM,"Takeaway, Delivery",Healthy Food,300.0
32394,World Of Asia,Yes,No,4.0,42,BTM,Quick Bites,Asian,300.0
39262,Mama Mia!,Yes,No,3.9,111,Seshadripuram,Dessert Parlor,"Desserts, Cafe",400.0
43748,Sunaina Sapice,Yes,No,3.3,7,New BEL Road,Quick Bites,"South Indian, North Indian, Chinese",200.0
35463,Kargeens,Yes,No,4.1,991,Koramangala 6th Block,Cafe,"Cafe, Continental, Italian",600.0
7658,Facebake,No,No,4.0,50,Marathahalli,Dessert Parlor,"Desserts, Bakery",300.0
17212,Chattar Mattar,No,No,3.5,11,HSR,Quick Bites,"North Indian, Chinese",150.0
39283,Sangam Sweets,Yes,No,3.1,27,Seshadripuram,Sweet Shop,"Mithai, Street Food",200.0
7062,Estaa Sweets,Yes,No,3.3,5,Marathahalli,Sweet Shop,"Mithai, Desserts",300.0
29840,North Tadka Restaurant,Yes,No,3.7,0,HSR,Quick Bites,"North Indian, Chinese",500.0
13032,Tijouri,No,Yes,4.0,71,Race Course Road,Fine Dining,"North Indian, Mughlai",2800.0
8568,Beer Adda,Yes,Yes,4.2,541,Koramangala 5th Block,"Casual Dining, Pub","North Indian, Chinese, Pizza",1000.0
3269,Mint and Mustard,Yes,No,4.0,232,Basavanagudi,Casual Dining,"North Indian, Chinese",750.0
23517,Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,No,No,3.9,144,Kumaraswamy Layout,Cafe,"Cafe, Chinese, Arabian",550.0
